name,city,country,latitude,longitude
Alexander von Humboldt Institute for Internet and Society,Berlin,Germany,52.510885,13.3989367
Harborview Injury Prevention and Research Center,Seattle,United States,47.6038321,-122.330062
"National Institute of Technology, Matsue College",Matsue,Japan,35.468115,133.048768
Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,Srinagar,India,34.0747444,74.8204443
Ternium México,San Nicolas de los Garza,Mexico,25.7558021,-100.289648
Instytut Metalurgii i Inzynierii Materialowej Polskiej Akademii Nauk,Krakow,Poland,50.0619474,19.9368564
Perpignan Hospital,Perpignan,France,42.6985304,2.8953121
Toronto Western Hospital,Toronto,Canada,43.6534817,-79.3839347
Rady Children's Hospital,San Diego,United States,32.7174202,-117.162772
Catholic University of Croatia,Zagreb,Croatia,45.8130967,15.9772795
"Center for Marine Environmental Studies, Ehime University",Matsuyama,Japan,33.8395188,132.7653521
Yonsei University College of Dentistry,Seoul,South Korea,37.5666791,126.9782914
Ankara Numune Hospital,Ankara,Türkiye,39.9207759,32.8540497
Odette Cancer Centre,Toronto,Canada,43.6534817,-79.3839347
St. Elisabeth University of Health Care and Social Work,Bratislava,Slovakia,48.1516988,17.1093063
Pöyry Management Consulting AS,Oslo,Norway,59.9133301,10.7389701
Jardine Schindler Elevator Corporation,Makati,Philippines,14.5567949,121.0211226
Donskov Strength and Conditioning,Columbus,United States,39.9622601,-83.0007065
"Ministeriet for Fødevarer, Landbrug og Fiskeri",Copenhagen,Denmark,55.6867243,12.5700724
Sichuan Health and Rehabilitation Vocational College,,China,,
"Student Research Committee, Kerman University of Medical Sciences",Kerman,Iran,29.571858,57.301047
Fox School of Business,Philadelphia,United States,39.9527237,-75.1635262
Decision Research,Eugene,United States,44.0505054,-123.0950506
Wildlife Institute of India,Dehradun,India,30.3255646,78.0436813
The Svedberg-laboratoriet,Uppsala,Sweden,59.8586126,17.6387436
Institut d'Investigació Biomedica de Bellvitge,Hospitalet de Llobregat,Spain,41.3598601,2.0997927
NSWCCD,Philadelphia,United States,39.9527237,-75.1635262
Thai Microelectronics Center,Petchaburi,Thailand,19.9071145,99.829723
Angiocor,Zlin,Czech Republic,49.226766,17.6667415
Freshwater Biological Association,Ambleside,United Kingdom,54.431954,-2.9630528
Danube Private University (DPU),Krems an der Donau,Austria,48.4108382,15.6003717
Institute for Nanotechnology and Correlative Microscopy eV INAM,Forchheim,Germany,49.7187319,11.0595749
Xuzhou Medical University,Xuzhou,China,34.2665258,117.1810431
Intesa Sanpaolo S.p.A.,Torino,Italy,45.0677551,7.6824892
University of Tabuk,Tabuk,Saudi Arabia,28.3251866,37.6328648
Birmingham VA Medical Center,Birmingham,United States,33.5206824,-86.8024326
University of Customs and Finance,Dnipro,Ukraine,51.5567163,30.6121981
